"distId","bikeType","lon","lat"
210249717,1,114.403218,30.544377
210249722,1,114.203559,30.611354
210249723,1,114.249227,30.546259
210249724,1,114.242067,30.560661
210249727,1,114.289551,30.611536
210249728,1,114.199976,30.522452
210249730,1,114.246093,30.548976
210249732,1,114.274317,30.606254
210249733,1,114.224837,30.608016
210249739,1,114.303726,30.522176
210249740,1,114.336417,30.662031
210249741,999,114.274277,30.489303
210249742,1,114.277713,30.566718
210249743,1,114.211773,30.603131
210249744,1,114.257799,30.634642
210249746,999,114.287134,30.592061
210249747,1,114.200272,30.548504
210249749,1,114.221083,30.580611
210249753,1,114.298573,30.600271
210249756,1,114.211413,30.653589
210249758,1,114.187851,30.633512
210249761,1,114.164416,30.51916
210249766,999,114.304139,30.653221
210249769,1,114.232747,30.595603
210249770,999,114.223642,30.581893
210249781,1,114.181943,30.511124
210249782,1,114.328424,30.658781
210249788,1,114.311924,30.486689
210249790,1,114.18843,30.640549
210249791,999,114.214784,30.563855
210249794,1,114.242772,30.549812
210249795,1,114.320683,30.656631
210249796,1,114.21205,30.596565
210249797,1,114.22956,30.596121
210249799,1,114.31301,30.552705
210249800,1,114.260257,30.570962
210249804,1,114.291371,30.616093
210249806,1,114.278778,30.618325
210249808,1,114.261592,30.638578
210249809,999,114.395649,30.632064
210249813,1,114.278268,30.63695
210249814,1,114.312015,30.535585
210249820,1,114.323316,30.648038
210249825,1,114.279435,30.648048
210249827,1,114.263856,30.624869
210249828,1,114.225793,30.671583
210249835,1,114.284452,30.58601
210249836,1,114.227168,30.610376
210249839,1,114.265801,30.630612
210249850,1,114.324209,30.493744
210249851,1,114.397969,30.626421
210249853,1,114.333617,30.581014
210249855,1,114.331559,30.576556
210249857,999,114.460444,30.498325
210249858,999,114.471553,30.586206
210249859,1,114.313358,30.515375
210249861,1,114.265876,30.608268
210249862,1,114.443931,30.582581
210249864,1,114.419971,30.576414
210249868,1,114.212376,30.535032
210249869,1,114.279141,30.546623
210249870,1,114.38901,30.474509
210249874,1,114.215322,30.658418
210249877,1,114.365776,30.502551
210249878,1,114.255259,30.530336
210249883,1,114.263222,30.709129
210249890,1,114.389751,30.610963
210249894,999,114.221121,30.688525
210249896,1,114.344478,30.610754
210249899,1,114.288952,30.592019
210249900,1,114.277092,30.644134
210249903,1,114.292471,30.6352
210249908,1,114.193136,30.648546
210249910,1,114.216744,30.604741
210249911,1,114.192525,30.622496
210249913,1,114.19515,30.596705
210249914,1,114.172175,30.579122
210249919,1,114.201295,30.594958
210249923,1,114.185287,30.650037
210249927,1,114.261598,30.639292
210249928,1,114.170869,30.636886
210249933,1,114.25383,30.536402
210249936,1,114.303424,30.691193
210249939,1,114.273407,30.611236
210249940,1,114.228301,30.603821
210249945,1,114.222287,30.604241
210249951,1,114.403291,30.698196
210249957,1,114.303176,30.704073
210249958,1,114.312005,30.5517
210249960,1,114.319087,30.614237
210249961,1,114.190064,30.620065
210249977,1,114.291133,30.582972
210249978,1,114.298307,30.541175
210249983,1,114.222668,30.6071
210249984,1,114.250813,30.530645
210249985,1,114.188645,30.546778
210250000,999,114.246058,30.51417
210260001,1,114.428735,30.59668
210260003,1,114.340857,30.587682
210260007,1,114.375562,30.521514
210260020,1,114.323332,30.555672
210260022,1,114.372239,30.61273
210260025,1,114.352446,30.511066
210260026,1,114.298578,30.522606
210260028,1,114.303596,30.475087
210260029,1,114.391809,30.600494
210260030,1,114.41221,30.462885
210260033,1,114.398851,30.632953
210260115,999,114.18526,30.579779
210260134,1,114.386576,30.613857
210260443,1,114.249599,30.599052
210260445,1,114.176448,30.608538
210260447,1,114.187627,30.602379
210260462,1,114.317783,30.54451
210261098,1,114.338359,30.478053
210261301,1,114.358394,30.618405
210261305,1,114.318016,30.466337
210261365,1,114.407622,30.475045
210261373,1,114.399303,30.644136
210261374,1,114.399689,30.620925
210261375,1,114.323711,30.584188
210261376,1,114.295029,30.637223
210261381,1,114.342927,30.487386
210261382,1,114.247237,30.51773
210261393,1,114.41126,30.472001
210261402,1,114.355317,30.555712
210261405,1,114.44027,30.659532
210261426,1,114.344404,30.559516
210261430,1,114.310407,30.569232
210261432,1,114.359768,30.569366
210261438,1,114.317666,30.516412
210261442,1,114.332585,30.555841
210261447,1,114.411285,30.648363
210261453,1,114.360229,30.62273
210261455,1,114.281806,30.606489
210261456,1,114.313867,30.473149
210261461,1,114.325275,30.526175
210261462,1,114.328337,30.49951
210261467,1,114.455487,30.501823
210261487,1,114.384439,30.59264
210261489,1,114.370592,30.543369
210261491,1,114.176371,30.621878
210261804,1,114.303499,30.523906
210262028,1,114.423557,30.561423
210262045,999,114.391374,30.620672
210262070,1,114.314086,30.553723
210262142,1,114.345142,30.492375
210262202,1,114.315723,30.530644
210262214,1,114.405408,30.616743
210262225,1,114.33267,30.509877
210262242,1,114.391903,30.486649
210262243,1,114.281547,30.495851
210262305,1,114.395506,30.61668
