v1,v2,v3,y,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,km,1,2,3,4
0.041160475,0.631448306,0.32739042,1,4.166665972,0.833333194,2.499999583,0,0,0,0,0,0,0,0,1.999998,4.99999875,0,0,2.39999952,2.39999952,0,3.749999063,1,1,0,0,0
0.333375136,0.205201833,0.461422464,5,0,2.499999583,4.999999167,0,0,0,0,0,0,0,1.999998,0,0,4.99999875,3.999998667,2.9999994,3.19999936,0,4.99999875,2,0,0.6,0.4,0
0.175757742,0.468806266,0.355435371,2,4.166665972,0.833333194,4.999999167,0,0,0,0,0,1.999998,0,0,1.999998,1.249999688,3.749999063,0,2.9999994,1.59999968,0,4.99999875,2,0.44,0.56,0,0
0.328617917,0.300625719,0.370755687,4,4.166665972,0.833333194,4.166665972,0,0,0,0,0,0,0,1.999998,0,0,4.99999875,0,1.19999976,3.19999936,0,4.99999875,2,0,1,0,0
0.209420103,0.282735674,0.507843714,5,2.499999583,0.833333194,4.166665972,0.833333194,0,0,0,0,1.999998,0,0,1.999998,0,4.99999875,3.999998667,2.9999994,3.9999992,0,4.99999875,2,0,1,0,0
0.298883412,0.287052233,0.414063703,4,4.999999167,0,0.833333194,1.666666389,0,0,0,0,0,0,1.999998,0,1.249999688,3.749999063,1.333332889,2.39999952,3.19999936,0,4.99999875,2,0,1,0,0
0.478552193,0.136504528,0.384942714,5,1.666666389,3.333332778,1.666666389,3.333332778,0,0,0,0,1.999998,0,1.999998,0,0,4.99999875,0,2.39999952,3.19999936,0,4.99999875,3,0,0,1,0
0.362286164,0.237172742,0.400540527,5,3.333332778,1.666666389,3.333332778,1.666666389,0,0,0,0,0,0,1.999998,0,0,4.99999875,3.999998667,2.39999952,1.59999968,0,4.99999875,3,0,0.28,0.72,0
0.28031572,0.363184432,0.356499244,5,4.166665972,0.833333194,3.333332778,1.666666389,0,0,0,0,1.999998,0,0,1.999998,0,4.99999875,3.999998667,2.9999994,1.59999968,0,1.249999688,2,0,1,0,0
0.448110413,0.078038059,0.473850981,5,0,4.999999167,0.833333194,2.499999583,0,0,0,0,0,0,1.999998,0,1.249999688,3.749999063,3.999998667,1.79999964,3.9999992,0,4.99999875,3,0,0,1,0
0.40891293,0.331944509,0.259141767,4,3.333332778,1.666666389,3.333332778,1.666666389,0,0,0,0,0,0,0,0,0,4.99999875,0,2.39999952,2.39999952,0,2.499999375,3,0,0.06,0.62,0.32
0.177407443,0.385208617,0.437383402,5,4.166665972,0.833333194,4.999999167,0,0,0,0,0,0,0,1.999998,0,2.499999375,2.499999375,3.999998667,2.9999994,3.19999936,0,4.99999875,2,0,1,0,0
0.358859511,0.399202201,0.241937547,3,4.166665972,0.833333194,4.166665972,0,0,0,0,0,0,0,1.999998,0,0,4.99999875,0,2.9999994,2.39999952,0,2.499999375,4,0,0,0,1
0.12001587,0.379044476,0.500939124,1,2.499999583,0.833333194,4.166665972,0.833333194,0,0,0,0,1.999998,0,1.999998,0,4.99999875,0,3.999998667,2.9999994,3.19999936,0,4.99999875,2,0.04,0.96,0,0
0.507156718,0.191329578,0.301512911,5,1.666666389,2.499999583,1.666666389,0.833333194,0,0,0,0,0,0,1.999998,0,0,4.99999875,0,2.39999952,3.19999936,0,2.499999375,3,0,0,1,0
0.315537481,0.265627481,0.418834501,5,2.499999583,2.499999583,2.499999583,2.499999583,0,0,0,0,1.999998,0,1.999998,0,2.499999375,2.499999375,3.999998667,2.9999994,3.19999936,0,2.499999375,2,0,0.94,0.06,0
0.23801665,0.543077505,0.218904819,5,2.499999583,0,4.999999167,0,0,0,0,0,0,0,0,0,1.249999688,3.749999063,0,2.39999952,3.19999936,0,0,4,0.2,0,0,0.8
0.367439543,0.286805372,0.345754399,4,2.499999583,1.666666389,4.166665972,0,0,0,0,0,0,0,1.999998,0,0,4.99999875,2.666665778,2.39999952,2.39999952,0,2.499999375,3,0,0.48,0.52,0
0.17016429,0.386959624,0.442875474,3,3.333332778,1.666666389,4.166665972,0.833333194,0,0,0,0,0,0,1.999998,0,4.99999875,0,2.666665778,0.59999988,3.19999936,0,4.99999875,2,0,1,0,0
0.349574058,0.243955738,0.406469553,4,1.666666389,0.833333194,4.166665972,0.833333194,0,0,0,0,0,0,1.999998,0,0,4.99999875,3.999998667,2.39999952,1.59999968,0,3.749999063,2,0,0.46,0.54,0
0.43561056,0.366708069,0.19768063,5,4.999999167,0,2.499999583,2.499999583,0,0,0,0,0,0,1.999998,0,0,4.99999875,0,2.9999994,3.9999992,0,0,4,0,0,0.16,0.84
0.426644296,0.403572312,0.169782596,5,4.999999167,0,3.333332778,1.666666389,0,0,0,0,0,0,1.999998,0,0,4.99999875,0,2.39999952,3.19999936,0,0,4,0,0,0,1
0.427770047,0.36920189,0.203027301,5,4.999999167,0,1.666666389,3.333332778,0,0,0,0,0,0,1.999998,0,1.249999688,3.749999063,0,2.39999952,3.9999992,0,0,4,0,0,0.14,0.86
0.185524218,0.450491263,0.363983909,5,3.333332778,1.666666389,4.999999167,0,0,0,0,0,1.999998,0,1.999998,0,3.749999063,1.249999688,0,2.9999994,3.19999936,0,3.749999063,2,0.24,0.76,0,0
0.391232019,0.303808166,0.304959048,3,2.499999583,0,2.499999583,2.499999583,0,0,0,0,0,0,1.999998,0,1.249999688,3.749999063,2.666665778,2.39999952,0.79999984,0,2.499999375,3,0,0.14,0.86,0
0.130033406,0.585934254,0.284031499,3,4.999999167,0,4.999999167,0,0,0,0,0,0,0,0,0,2.499999375,2.499999375,2.666665778,1.79999964,2.39999952,0,0,1,1,0,0,0
0.359338234,0.257246991,0.383413903,5,0,2.499999583,2.499999583,1.666666389,0,0,0,0,0,0,0,0,1.249999688,2.499999375,0,2.9999994,1.59999968,0,4.99999875,3,0,0.42,0.58,0
0.489851992,0.275208746,0.23493847,4,2.499999583,2.499999583,0.833333194,2.499999583,0,0,0,0,0,0,0,1.999998,0,4.99999875,0,2.39999952,3.19999936,0,1.249999688,3,0,0,1,0
0.487797204,0.34396616,0.168235847,5,2.499999583,2.499999583,2.499999583,2.499999583,0,0,0,0,0,0,0,1.999998,0,4.99999875,0,2.39999952,3.19999936,0,0,3,0,0,0.6,0.4
0.165982204,0.662280722,0.171736269,5,4.999999167,0,4.166665972,0.833333194,0,0,0,0,0,0,0,1.999998,2.499999375,2.499999375,0,2.9999994,3.19999936,0,0,1,0.8,0,0,0.2
0.378083147,0.517598525,0.104317349,3,2.499999583,2.499999583,4.999999167,0,0,0,0,0,0,0,0,0,1.249999688,3.749999063,0,2.39999952,1.59999968,0,0,4,0,0,0,1
0.195972954,0.387227989,0.416798213,3,2.499999583,0,1.666666389,0,0,0,0,0,0,0,0,1.999998,1.249999688,3.749999063,0,2.39999952,2.39999952,0,4.99999875,2,0,1,0,0
0.181035901,0.392308603,0.426654716,4,2.499999583,0,2.499999583,0,0,0,0,0,0,0,0,1.999998,1.249999688,3.749999063,0,2.39999952,3.19999936,0,4.99999875,2,0,1,0,0
0.345597412,0.34839718,0.306004376,5,0.833333194,1.666666389,1.666666389,0,0,0,0,0,0,0,0,1.999998,1.249999688,3.749999063,0,1.79999964,3.19999936,0,1.249999688,2,0,0.7,0.16,0.14
0.386823831,0.233921823,0.379253741,5,3.333332778,1.666666389,3.333332778,1.666666389,0,0,0,0,1.999998,0,1.999998,0,0,4.99999875,0,1.79999964,2.39999952,0,4.99999875,3,0,0.06,0.94,0
0.554471489,0.254296546,0.191231069,4,2.499999583,2.499999583,0.833333194,2.499999583,0,0,0,0,0,0,0,1.999998,0,4.99999875,0,1.19999976,3.19999936,0,0,3,0,0,1,0
0.169465344,0.490812455,0.339721544,2,4.166665972,0.833333194,4.166665972,0.833333194,0,0,0,0,0,0,0,1.999998,2.499999375,2.499999375,0,2.39999952,3.9999992,0,3.749999063,1,0.62,0.38,0,0
0.519893239,0.284499938,0.195605906,4,2.499999583,2.499999583,3.333332778,1.666666389,0,0,0,0,0,0,0,0,0,4.99999875,0,1.19999976,3.19999936,0,0,3,0,0,1,0
